	Protein Inference	Main Accession	Description	Protein Group	Secondary Accessions	Chromosome	Gene Name	Taxonomy	Organism Identifier	Validated Coverage [%]	All Coverage [%]	Possible Coverage [%]	#Peptides	#Validated Peptides	#Unique Peptides	#Validated Unique Peptides	#PSMs	#Validated PSMs	Confidently Localized Modification Sites	#Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Spectrum Counting	MW [kDa]	Confidence [%]	Validation
50	Related Proteins	MGYP000161191899		MGYP000161191899,MGYP000339037239,MGYP000400756309,MGYP000469871841,MGYP000652697088,MGYP000883661103,MGYP000905546986,MGYP000922215195,MGYP001070967939,MGYP001073016328,MGYP001073029303,MGYP001232546413,MGYP001238797155,MGYP001289503615,MGYP001307089835,MGYP001311718661,MGYP001339780378,MGYP001351210454,MGYP001384588613,MGYP003683598481,MGYP003686805493,MGYP003687919973,MGYP003688002617,MGYP003689956435,MGYP003691028813,MGYP003691327559,MGYP003691423441,MGYP003691607813	MGYP000339037239,MGYP000400756309,MGYP000469871841,MGYP000652697088,MGYP000883661103,MGYP000905546986,MGYP000922215195,MGYP001070967939,MGYP001073016328,MGYP001073029303,MGYP001232546413,MGYP001238797155,MGYP001289503615,MGYP001307089835,MGYP001311718661,MGYP001339780378,MGYP001351210454,MGYP001384588613,MGYP003683598481,MGYP003686805493,MGYP003687919973,MGYP003688002617,MGYP003689956435,MGYP003691028813,MGYP003691327559,MGYP003691423441,MGYP003691607813					31.43	31.43	87.14	1	1	1	1	1	1	Oxidation of M (M41)	Oxidation of M (1)			161.913168669689	7.633840252492499	73.36412625096229	Doubtful
51	Related Proteins	MGYP000404988632		MGYP000404988632,MGYP003683317573,MGYP003686297279,MGYP003691301015	MGYP003683317573,MGYP003686297279,MGYP003691301015					5.83	5.83	79.3	1	1	1	1	1	1					32.812967737046606	37.26832614441161	73.36412625096229	Doubtful
52	Related Proteins	MGYP000697600996		MGYP000697600996,MGYP003682520823,MGYP003685528581,MGYP003690344385,MGYP003690556919,MGYP003690683155	MGYP003682520823,MGYP003685528581,MGYP003690344385,MGYP003690556919,MGYP003690683155					7.19	7.19	80.63	2	2	1	1	2	2					69.5542485130354	35.10389590875454	73.36412625096229	Confident
53	Related Proteins	MGYP000094166401		MGYP000094166401,MGYP000132509760,MGYP000305403677,MGYP000323951718,MGYP001271987342,MGYP003682133107,MGYP003682156495,MGYP003682175471,MGYP003682248081,MGYP003682318213,MGYP003682671637,MGYP003683223003,MGYP003683279021,MGYP003683282533,MGYP003683299255,MGYP003683422923,MGYP003683457163,MGYP003683496129,MGYP003683819701,MGYP003683947289,MGYP003684005891,MGYP003684314729,MGYP003684370699,MGYP003684420529,MGYP003684470119,MGYP003684483709,MGYP003684485165,MGYP003684761553,MGYP003684848235,MGYP003684941153,MGYP003685011671,MGYP003685055549,MGYP003685057599,MGYP003685074993,MGYP003685122985,MGYP003685131047,MGYP003685212353,MGYP003685251845,MGYP003685343519,MGYP003685414705,MGYP003685432323,MGYP003685589335,MGYP003685722231,MGYP003685772987,MGYP003685883243,MGYP003686187675,MGYP003686280481,MGYP003686316179,MGYP003686325551,MGYP003686594809,MGYP003686603279,MGYP003686637085,MGYP003687108819,MGYP003687112169,MGYP003687132897,MGYP003687339673,MGYP003687526497,MGYP003687713129,MGYP003687791193,MGYP003687977789,MGYP003688051209,MGYP003688165467,MGYP003688172629,MGYP003688200893,MGYP003688241157,MGYP003688303303,MGYP003688348407,MGYP003688403293,MGYP003688407443,MGYP003688549663,MGYP003688744145,MGYP003688884481,MGYP003688984281,MGYP003689058221,MGYP003689107263,MGYP003689187941,MGYP003689274043,MGYP003689351803,MGYP003689362063,MGYP003689480787,MGYP003689631659,MGYP003689771463,MGYP003689939705,MGYP003690055089,MGYP003690100621,MGYP003690119171,MGYP003690148199,MGYP003690178417,MGYP003690362769,MGYP003690369613,MGYP003690751457,MGYP003690839153,MGYP003690925729,MGYP003691269795,MGYP003691316681,MGYP003691335813,MGYP003691463331,MGYP003691597219,MGYP003691657529,MGYP003691660305,MGYP003691757069,MGYP003691925163,MGYP003692179791	MGYP000132509760,MGYP000305403677,MGYP000323951718,MGYP001271987342,MGYP003682133107,MGYP003682156495,MGYP003682175471,MGYP003682248081,MGYP003682318213,MGYP003682671637,MGYP003683223003,MGYP003683279021,MGYP003683282533,MGYP003683299255,MGYP003683422923,MGYP003683457163,MGYP003683496129,MGYP003683819701,MGYP003683947289,MGYP003684005891,MGYP003684314729,MGYP003684370699,MGYP003684420529,MGYP003684470119,MGYP003684483709,MGYP003684485165,MGYP003684761553,MGYP003684848235,MGYP003684941153,MGYP003685011671,MGYP003685055549,MGYP003685057599,MGYP003685074993,MGYP003685122985,MGYP003685131047,MGYP003685212353,MGYP003685251845,MGYP003685343519,MGYP003685414705,MGYP003685432323,MGYP003685589335,MGYP003685722231,MGYP003685772987,MGYP003685883243,MGYP003686187675,MGYP003686280481,MGYP003686316179,MGYP003686325551,MGYP003686594809,MGYP003686603279,MGYP003686637085,MGYP003687108819,MGYP003687112169,MGYP003687132897,MGYP003687339673,MGYP003687526497,MGYP003687713129,MGYP003687791193,MGYP003687977789,MGYP003688051209,MGYP003688165467,MGYP003688172629,MGYP003688200893,MGYP003688241157,MGYP003688303303,MGYP003688348407,MGYP003688403293,MGYP003688407443,MGYP003688549663,MGYP003688744145,MGYP003688884481,MGYP003688984281,MGYP003689058221,MGYP003689107263,MGYP003689187941,MGYP003689274043,MGYP003689351803,MGYP003689362063,MGYP003689480787,MGYP003689631659,MGYP003689771463,MGYP003689939705,MGYP003690055089,MGYP003690100621,MGYP003690119171,MGYP003690148199,MGYP003690178417,MGYP003690362769,MGYP003690369613,MGYP003690751457,MGYP003690839153,MGYP003690925729,MGYP003691269795,MGYP003691316681,MGYP003691335813,MGYP003691463331,MGYP003691597219,MGYP003691657529,MGYP003691660305,MGYP003691757069,MGYP003691925163,MGYP003692179791					2.87	2.87	69.43	1	1	1	1	1	1					34.533927583395204	33.87472642403762	73.36412625096229	Doubtful
54	Related Proteins	MGYP003388304927		MGYP003388304927,MGYP003684060429	MGYP003684060429					5.22	5.22	88.43	1	1	1	1	1	1					41.67385353945581	29.808737670650732	73.36412625096229	Doubtful
55	Single Protein	MGYP900000095994		MGYP900000095994						8.11	8.11	68.24	1	1	1	1	1	1					77.16174444414865	16.52628387505714	73.36412625096229	Doubtful
56	Single Protein	MGYP000381758943		MGYP000381758943						4.19	6.59	63.17	2	1	1	1	2	1					32.812967737046606	35.467271356687924	73.36412625096229	Doubtful
57	Related Proteins	MGYP000506870732		MGYP000506870732,MGYP000717568529,MGYP003682021237,MGYP003682182917,MGYP003682318237,MGYP003682406459,MGYP003682457053,MGYP003682476783,MGYP003682530941,MGYP003682857011,MGYP003683085521,MGYP003683103167,MGYP003683144531,MGYP003683155211,MGYP003683190463,MGYP003683380659,MGYP003683403147,MGYP003683441743,MGYP003683514925,MGYP003683779421,MGYP003683813021,MGYP003683819415,MGYP003683857123,MGYP003684017329,MGYP003684105473,MGYP003684107227,MGYP003684110569,MGYP003684195785,MGYP003684558677,MGYP003684565777,MGYP003684611863,MGYP003684646479,MGYP003684809855,MGYP003684991497,MGYP003685043715,MGYP003685093683,MGYP003685148585,MGYP003685321375,MGYP003685444763,MGYP003685452783,MGYP003685610389,MGYP003686015167,MGYP003686032347,MGYP003686057685,MGYP003686062523,MGYP003686093625,MGYP003686220825,MGYP003686249115,MGYP003686384043,MGYP003686396029,MGYP003686794581,MGYP003686832725,MGYP003686949827,MGYP003686970501,MGYP003687124201,MGYP003687678841,MGYP003688067563,MGYP003688257055,MGYP003688337697,MGYP003688389069,MGYP003688681637,MGYP003688715987,MGYP003688863789,MGYP003688883245,MGYP003688913811,MGYP003689050003,MGYP003689081265,MGYP003689229661,MGYP003689237563,MGYP003689452543,MGYP003689461739,MGYP003689549993,MGYP003689775359,MGYP003689829291,MGYP003689855243,MGYP003689950231,MGYP003690042161,MGYP003690064863,MGYP003690100853,MGYP003690155097,MGYP003690348991,MGYP003690354739,MGYP003690490307,MGYP003690609703,MGYP003690858673,MGYP003690982155,MGYP003691107227,MGYP003691160705,MGYP003691166359,MGYP003691171823,MGYP003691276397,MGYP003691368491,MGYP003691375599,MGYP003691388471,MGYP003691396637,MGYP003691532431,MGYP003691542917,MGYP003691632233,MGYP003691716485,MGYP003691913733,MGYP003692183549,MGYP003692213133,MGYP003692470523	MGYP000717568529,MGYP003682021237,MGYP003682182917,MGYP003682318237,MGYP003682406459,MGYP003682457053,MGYP003682476783,MGYP003682530941,MGYP003682857011,MGYP003683085521,MGYP003683103167,MGYP003683144531,MGYP003683155211,MGYP003683190463,MGYP003683380659,MGYP003683403147,MGYP003683441743,MGYP003683514925,MGYP003683779421,MGYP003683813021,MGYP003683819415,MGYP003683857123,MGYP003684017329,MGYP003684105473,MGYP003684107227,MGYP003684110569,MGYP003684195785,MGYP003684558677,MGYP003684565777,MGYP003684611863,MGYP003684646479,MGYP003684809855,MGYP003684991497,MGYP003685043715,MGYP003685093683,MGYP003685148585,MGYP003685321375,MGYP003685444763,MGYP003685452783,MGYP003685610389,MGYP003686015167,MGYP003686032347,MGYP003686057685,MGYP003686062523,MGYP003686093625,MGYP003686220825,MGYP003686249115,MGYP003686384043,MGYP003686396029,MGYP003686794581,MGYP003686832725,MGYP003686949827,MGYP003686970501,MGYP003687124201,MGYP003687678841,MGYP003688067563,MGYP003688257055,MGYP003688337697,MGYP003688389069,MGYP003688681637,MGYP003688715987,MGYP003688863789,MGYP003688883245,MGYP003688913811,MGYP003689050003,MGYP003689081265,MGYP003689229661,MGYP003689237563,MGYP003689452543,MGYP003689461739,MGYP003689549993,MGYP003689775359,MGYP003689829291,MGYP003689855243,MGYP003689950231,MGYP003690042161,MGYP003690064863,MGYP003690100853,MGYP003690155097,MGYP003690348991,MGYP003690354739,MGYP003690490307,MGYP003690609703,MGYP003690858673,MGYP003690982155,MGYP003691107227,MGYP003691160705,MGYP003691166359,MGYP003691171823,MGYP003691276397,MGYP003691368491,MGYP003691375599,MGYP003691388471,MGYP003691396637,MGYP003691532431,MGYP003691542917,MGYP003691632233,MGYP003691716485,MGYP003691913733,MGYP003692183549,MGYP003692213133,MGYP003692470523					2.54	2.54	76.48	1	1	1	1	1	1					23.23930185612006	50.725295928593184	73.36412625096229	Doubtful
58	Single Protein	MGYP003685823347		MGYP003685823347						16.5	16.5	55.0	2	2	2	2	4	4					211.2663805101824	21.76622936096975	83.50202429149797	Confident
59	Single Protein	MGYP001591896562		MGYP001591896562						7.6	7.6	76.9	2	2	2	2	2	2					63.720666379684054	37.3328409538801	81.60152526215442	Confident
60	Related Proteins	MGYP003683881541		MGYP003683881541,MGYP003684276085	MGYP003684276085					3.5	3.5	32.85	4	4	2	2	4	4	Oxidation of M (M542, M612, M613)	Oxidation of M (3)			21.440021611109323	186.0583378419527	81.60152526215442	Confident
61	Related Proteins	MGYP003681977193		MGYP003681977193,MGYP003686729825	MGYP003686729825					2.19	2.99	23.21	2	1	1	1	2	1					14.675636387594395	106.47475672849691	73.36412625096229	Doubtful
62	Related Proteins	MGYP003682560841		MGYP003682560841,MGYP003683077647,MGYP003683304467,MGYP003683710799,MGYP003684936347,MGYP003685785517,MGYP003686326979,MGYP003686774403,MGYP003691740031	MGYP003683077647,MGYP003683304467,MGYP003683710799,MGYP003684936347,MGYP003685785517,MGYP003686326979,MGYP003686774403,MGYP003691740031					16.24	16.24	54.27	2	2	2	2	2	2					90.61195677844981	24.06148265545141	81.60152526215442	Confident
63	Related Proteins	MGYP002634128685		MGYP002634128685,MGYP003682063601,MGYP003682663295,MGYP003684879485,MGYP003685507565,MGYP003686622549,MGYP003687462015	MGYP003682063601,MGYP003682663295,MGYP003684879485,MGYP003685507565,MGYP003686622549,MGYP003687462015					3.58	3.58	75.22	1	1	1	1	1	1					31.757888388588515	35.55870887844716	73.36412625096229	Doubtful
64	Related Proteins	MGYP003682262483		MGYP003682262483,MGYP003682400273,MGYP003683583279,MGYP003684029009,MGYP003685555883,MGYP003686330945,MGYP003686864975,MGYP003690493245,MGYP003691457633	MGYP003682400273,MGYP003683583279,MGYP003684029009,MGYP003685555883,MGYP003686330945,MGYP003686864975,MGYP003690493245,MGYP003691457633					4.78	4.78	40.65	2	2	1	1	2	2					50.7364894975224	48.943357717826316	73.36412625096229	Confident
65	Related Proteins	MGYP000316538772		MGYP000316538772,MGYP003688333983,MGYP003688518317	MGYP003688333983,MGYP003688518317					32.35	32.35	86.76	1	1	1	1	1	1	Oxidation of M (M39)	Oxidation of M (1)			167.401750658492	7.42072891113837	73.36412625096229	Doubtful
66	Related Proteins	MGYP003682999891		MGYP003682999891,MGYP003687426699,MGYP003689128237	MGYP003687426699,MGYP003689128237					10.99	13.67	64.61	4	2	1	1	5	3	Oxidation of M (M120)	Oxidation of M (1)			88.18485079331273	40.67015309686278	73.36412625096229	Confident
67	Related Proteins	MGYP003682840421		MGYP003682840421,MGYP003683698629,MGYP003684421635,MGYP003684700561,MGYP003684926027,MGYP003685263469,MGYP003685366969,MGYP003685488427,MGYP003685954015,MGYP003686281689,MGYP003686371317,MGYP003686794009,MGYP003687132729,MGYP003688632493,MGYP003688744931,MGYP003688756421,MGYP003689129461,MGYP003689412123,MGYP003689523077,MGYP003689819369,MGYP003690184373,MGYP003690760909,MGYP003691302721,MGYP003691568221,MGYP003691594157,MGYP003691637649	MGYP003683698629,MGYP003684421635,MGYP003684700561,MGYP003684926027,MGYP003685263469,MGYP003685366969,MGYP003685488427,MGYP003685954015,MGYP003686281689,MGYP003686371317,MGYP003686794009,MGYP003687132729,MGYP003688632493,MGYP003688744931,MGYP003688756421,MGYP003689129461,MGYP003689412123,MGYP003689523077,MGYP003689819369,MGYP003690184373,MGYP003690760909,MGYP003691302721,MGYP003691568221,MGYP003691594157,MGYP003691637649					15.47	15.47	89.5	3	3	1	1	3	3					137.1764345673754	19.54574029433908	73.36412625096229	Confident
68	Single Protein	MGYP900000095968		MGYP900000095968						11.99	14.61	82.27	7	5	4	4	9	6					103.07754855537128	69.32149565531074	83.50202429149797	Confident
69	Related Proteins	MGYP000177939625		MGYP000177939625,MGYP000240916651,MGYP000673687706,MGYP003682908357,MGYP003684373621,MGYP003684691585,MGYP003685134007,MGYP003686627245,MGYP003687779193,MGYP003689152273,MGYP003690792523,MGYP003691162521,MGYP003692483117	MGYP000240916651,MGYP000673687706,MGYP003682908357,MGYP003684373621,MGYP003684691585,MGYP003685134007,MGYP003686627245,MGYP003687779193,MGYP003689152273,MGYP003690792523,MGYP003691162521,MGYP003692483117					2.52	2.52	66.88	1	1	1	1	1	1	Oxidation of M (M60)	Oxidation of M (1)			22.44705292920688	50.866171894958796	73.36412625096229	Doubtful
70	Related Proteins	MGYP003682178719		MGYP003682178719,MGYP003683714511,MGYP003684005035,MGYP003684375379,MGYP003687236435,MGYP003687289713,MGYP003689934967	MGYP003683714511,MGYP003684005035,MGYP003684375379,MGYP003687236435,MGYP003687289713,MGYP003689934967					3.87	3.87	31.28	2	2	1	1	2	2	Oxidation of M (M224)	Oxidation of M (1)			44.35645189603755	60.206831510934656	64.0	Doubtful
71	Single Protein	MGYP003686643673		MGYP003686643673						26.04	26.04	44.79	2	2	2	2	2	2					217.07040195276988	9.94214064698477	81.60152526215442	Confident
72	Single Protein	MGYP000434486322		MGYP000434486322						21.95	21.95	95.12	1	1	1	1	1	1					253.2488022782315	4.8354185165745305	64.0	Doubtful
73	Related Proteins	MGYP003682169617		MGYP003682169617,MGYP003684297047,MGYP003686780539,MGYP003686945725,MGYP003689071141,MGYP003689783021,MGYP003691446049	MGYP003684297047,MGYP003686780539,MGYP003686945725,MGYP003689071141,MGYP003689783021,MGYP003691446049					10.63	10.63	23.62	2	2	1	1	2	2	Oxidation of M (M32)	Oxidation of M (1)			246.9175822212757	25.059727114400562	73.36412625096229	Confident
74	Related Proteins	MGYP000259086290		MGYP000259086290,MGYP001299591751,MGYP003682449027,MGYP003682827921,MGYP003684613319,MGYP003686619331,MGYP003687081223,MGYP003687650827	MGYP001299591751,MGYP003682449027,MGYP003682827921,MGYP003684613319,MGYP003686619331,MGYP003687081223,MGYP003687650827					4.64	6.83	65.85	2	1	2	1	2	1	Oxidation of M (M347)	Oxidation of M (1)			29.749106291719965	39.66765612993356	79.61783439490446	Doubtful
75	Related Proteins	MGYP003682611061		MGYP003682611061,MGYP003683555327,MGYP003684285669,MGYP003684716209,MGYP003686520277,MGYP003687699007,MGYP003690451467	MGYP003683555327,MGYP003684285669,MGYP003684716209,MGYP003686520277,MGYP003687699007,MGYP003690451467					5.85	5.85	46.2	1	1	1	1	1	1					61.34598316056539	17.00638034015314	64.0	Doubtful
76	Related Proteins	MGYP000902024717		MGYP000902024717,MGYP003682044671,MGYP003683112625,MGYP003683678063,MGYP003683982437,MGYP003684159609,MGYP003685304233,MGYP003685604037,MGYP003685615569,MGYP003686194719,MGYP003686248263,MGYP003686529567,MGYP003690894543	MGYP003682044671,MGYP003683112625,MGYP003683678063,MGYP003683982437,MGYP003684159609,MGYP003685304233,MGYP003685604037,MGYP003685615569,MGYP003686194719,MGYP003686248263,MGYP003686529567,MGYP003690894543					5.8	5.8	87.7	2	2	2	2	2	2					52.257689359000146	47.62916000426293	81.60152526215442	Confident
77	Single Protein	MGYP003684337941		MGYP003684337941						14.63	14.63	53.73	2	2	2	2	3	2	Oxidation of M (M101)	Oxidation of M (1)			64.1344369405911	36.48367165035445	83.50202429149797	Confident
78	Related Proteins	MGYP000177939357		MGYP000177939357,MGYP003687282235	MGYP003687282235					7.83	7.83	23.48	2	2	2	2	2	2					60.593271710742506	35.7654182613208	81.60152526215442	Confident
79	Related Proteins	MGYP000037072812		MGYP000037072812,MGYP003682920889	MGYP003682920889					3.88	3.88	47.77	1	1	1	1	1	1					24.44728536844314	56.99788591334297	73.36412625096229	Doubtful
80	Related Proteins	MGYP000660414854		MGYP000660414854,MGYP003686868705,MGYP003689935517	MGYP003686868705,MGYP003689935517					15.56	15.56	82.22	1	1	1	1	1	1					133.46896336285175	9.43005219830661	73.36412625096229	Doubtful
81	Related Proteins	MGYP000077692778		MGYP000077692778,MGYP002639551928,MGYP003682645755,MGYP003682686785,MGYP003686329831,MGYP003687797141,MGYP003690218935	MGYP002639551928,MGYP003682645755,MGYP003682686785,MGYP003686329831,MGYP003687797141,MGYP003690218935					3.85	3.85	54.4	1	1	1	1	1	1					29.394950264437583	39.49255162910416	73.36412625096229	Doubtful
82	Related Proteins	MGYP000035111788		MGYP000035111788,MGYP000064095876,MGYP000189988854,MGYP000264112757,MGYP000293455697,MGYP000340479771,MGYP000404989060,MGYP000435130983,MGYP000465117768,MGYP000558331882,MGYP000676286045,MGYP000679739811,MGYP000745181110,MGYP000847659266,MGYP000944390540,MGYP001160681378,MGYP001170298878,MGYP001264046116,MGYP001276596606,MGYP001280186137,MGYP001293545734,MGYP001295746374,MGYP001371545866,MGYP001436100523,MGYP001488966300,MGYP003682515649,MGYP003682880759,MGYP003683011107,MGYP003683257507,MGYP003683282131,MGYP003683342415,MGYP003684227651,MGYP003684342673,MGYP003684650091,MGYP003684741749,MGYP003684777493,MGYP003685129673,MGYP003685373615,MGYP003685545463,MGYP003685793351,MGYP003686308009,MGYP003687351991,MGYP003687690863,MGYP003687877163,MGYP003688278859,MGYP003688507867,MGYP003688545153,MGYP003688724717,MGYP003688735931,MGYP003688765703,MGYP003688826831,MGYP003688933849,MGYP003688957267,MGYP003688961691,MGYP003689506059,MGYP003689506747,MGYP003690037401,MGYP003690230013,MGYP003690305635,MGYP003690398743,MGYP003690450537,MGYP003690521539,MGYP003691463229,MGYP003691509021,MGYP003691543737,MGYP003691930399	MGYP000064095876,MGYP000189988854,MGYP000264112757,MGYP000293455697,MGYP000340479771,MGYP000404989060,MGYP000435130983,MGYP000465117768,MGYP000558331882,MGYP000676286045,MGYP000679739811,MGYP000745181110,MGYP000847659266,MGYP000944390540,MGYP001160681378,MGYP001170298878,MGYP001264046116,MGYP001276596606,MGYP001280186137,MGYP001293545734,MGYP001295746374,MGYP001371545866,MGYP001436100523,MGYP001488966300,MGYP003682515649,MGYP003682880759,MGYP003683011107,MGYP003683257507,MGYP003683282131,MGYP003683342415,MGYP003684227651,MGYP003684342673,MGYP003684650091,MGYP003684741749,MGYP003684777493,MGYP003685129673,MGYP003685373615,MGYP003685545463,MGYP003685793351,MGYP003686308009,MGYP003687351991,MGYP003687690863,MGYP003687877163,MGYP003688278859,MGYP003688507867,MGYP003688545153,MGYP003688724717,MGYP003688735931,MGYP003688765703,MGYP003688826831,MGYP003688933849,MGYP003688957267,MGYP003688961691,MGYP003689506059,MGYP003689506747,MGYP003690037401,MGYP003690230013,MGYP003690305635,MGYP003690398743,MGYP003690450537,MGYP003690521539,MGYP003691463229,MGYP003691509021,MGYP003691543737,MGYP003691930399					15.38	15.38	81.32	1	1	1	1	1	1					133.46896336285175	9.90146366776072	73.36412625096229	Doubtful
83	Related Proteins	MGYP000116019760		MGYP000116019760,MGYP003682139601,MGYP003690052929	MGYP003682139601,MGYP003690052929					4.23	4.23	57.75	1	1	1	1	1	1					30.86469777765946	37.0651774477565	73.36412625096229	Doubtful
